plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,244a0589-7133-4ed6-80fd-f0de86ea5c32,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5736.25,803069.54,35.95,0.581274,6389187.00,286.00,7.96,721,5,"KBGR, LFPG, EGCC, EINN, KBGR",4
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,70d245d4-4f92-4977-a7a9-323f83e34606,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4111.90,744553.94,35.95,0.552005,4246231.50,205.00,5.70,721,5,"KBGR, SVMI, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,fe667b26-22da-48a1-ab02-f0607a60f42e,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5837.46,1521768.85,35.94,0.940595,12320763.00,291.00,8.10,721,2,"KMLT, EHRD, LFRZ, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,23e187d5-e00f-4e5a-948a-6bdff7e1858d,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4333.00,1188733.35,35.94,0.774076,7143937.50,216.00,6.01,721,2,"KMLT, KAOO, MMPB, KBML, KMLT",4
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,28523d1f-8bb5-4494-9604-2c15eb649611,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4574.22,1438185.82,35.94,0.898782,9124248.00,228.00,6.34,721,2,"KMLT, TFFR, MUPB, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,ad0e916e-4898-47d3-a498-e19b61c07eb0,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3751.89,1405156.71,35.94,0.882257,7312053.00,187.00,5.20,721,2,"KMLT, 57FA, KETN, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,66e397c1-89f9-4dfd-8baa-439cc84270b1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3531.21,519520.51,35.94,0.439438,2544433.50,176.00,4.90,721,5,"KBGR, KJFK, MMMD, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,9cd6d7f4-91d8-4181-b8d3-d4c48abec8a6,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5136.43,1305130.58,35.93,0.832239,9297802.50,256.00,7.12,721,2,"KMLT, KEAT, L71, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,ecb890e6-b9c3-4bd8-9273-a831402d8ce4,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4434.25,1161499.29,35.93,0.760420,7143381.00,221.00,6.15,721,2,"KMLT, KSEZ, KHRJ, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,1e57cfe4-0a36-4c18-a4cb-bb1eeb6c16a5,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5638.16,639216.08,35.93,0.499277,4998619.50,281.00,7.82,721,5,"KBGR, SEMT, MUCU, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,be9a5824-03a4-4c65-908c-668491382c65,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3912.85,1560497.94,35.93,0.959907,8468775.00,195.00,5.43,721,2,"KMLT, WY33, KJER, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,75d7ca00-fabb-4560-bf46-103d155025a7,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4053.51,1675391.43,35.93,1.017345,9419172.00,202.00,5.62,721,2,"KMLT, U55, KDMO, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,a2531d4e-4838-43d1-8634-aad125534e1b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,682.29,79112.92,35.93,0.219202,74865.00,34.00,0.95,721,5,"KBGR, KEWR, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,40c95f25-e1de-4179-8018-674b108f4b19,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3491.79,1506335.56,35.93,0.932809,7295148.00,174.00,4.84,721,2,"KMLT, KMDD, KMLT",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,96f150b4-1b02-412f-95cd-c6b8c5a89cc8,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4455.23,637797.73,35.93,0.498533,3941101.50,222.00,6.18,721,4,"KBGR, MMBT, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6929fd95-2ed3-4bc3-85a2-3a7c4b9000bf,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5298.43,294341.27,35.92,0.326794,2163031.50,264.00,7.35,721,4,"KBGR, KLVS, MDPP, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,4a74f690-ae68-4b6c-95ff-0755b95a6aac,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,1866.79,926411.83,35.92,0.642801,2398630.50,93.00,2.59,721,4,"KJAX, KLAX",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,a0f3e49e-2bfb-40b4-ae1c-395e6333e73a,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5259.60,1253652.45,35.92,0.806404,9145237.50,262.00,7.29,721,2,"KMLT, LPBG, KMLT",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,2a031677-652f-4b22-8169-9a475be3bb13,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5962.23,823043.50,35.92,0.591100,6806068.50,297.00,8.27,721,4,"KBGR, ENKB, ENEV, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,8d030b25-7a88-4738-a65a-49df926eb14b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5902.44,249086.86,35.91,0.304108,2039142.00,294.00,8.19,721,4,"KBGR, BIKF, ESOK, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,adf947ee-baaf-45b7-9911-ed844d813e97,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5059.27,556657.14,35.91,0.457892,3906073.50,252.00,7.02,721,5,"KBGR, KBHM, KSEA, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,c6d41f32-ff93-4f01-bba1-1bc4061ca7fe,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4938.81,959382.45,35.91,0.659255,6571719.00,246.00,6.85,721,4,"KBGR, KSFB, KMMT, MNMG, KNFE, KBGR",5
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,3ec9d425-af81-4318-bb1e-d552329f57db,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,2911.16,453080.98,35.91,0.406099,1829394.00,145.00,4.04,721,2,"KMLT, ESGG",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,60c1ce76-f1c4-4315-866d-6d7f41e0433a,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,2911.16,321146.90,35.91,0.340132,1296687.00,145.00,4.04,721,2,"KMLT, ESGG",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,21d36e4e-4418-48b9-b185-c9795750e55d,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3352.93,1648193.34,35.91,1.003652,7664737.50,167.00,4.65,721,2,"KMLT, KRST, KTAD, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,78053002-a287-4dfd-84bb-3cf48aace3e2,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,3172.70,110256.28,35.91,0.234657,485173.50,158.00,4.40,721,5,"EINN, KMSP",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,295bec58-1488-49bb-aeb0-9a8ee7215ad8,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5642.87,786335.68,35.90,0.572687,6154218.00,281.00,7.83,721,4,"KBGR, KMBS, KOMA, KCEF, KPNA, KBGR",5
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,db60efe1-0500-44e2-8e10-149ab85eb311,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3012.78,1351245.09,35.90,0.855108,5646333.00,150.00,4.18,721,2,"KMLT, 04A, MYBG, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,7b706ecc-4aa0-4e28-8932-bacbcce31320,fbo:e11f0ba9-9f21-488b-9c59-8abfea9df870,1305.55,475117.55,35.90,0.417043,860317.50,65.00,1.81,721,5,"KMSP, KMIA",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6634ac0b-ee68-4302-96fa-14f8ffc365db,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4418.88,397485.30,35.90,0.378223,2436115.50,220.00,6.13,721,5,"KNFL, KBGR, KNFL",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,7cbe6f99-517c-4ee6-a0b2-22dc90c225bb,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,2932.62,731140.62,35.89,0.545045,2973862.50,146.00,4.07,721,5,"KADW, PANC",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,0b508f1f-fe58-43e7-8e46-18ac0a957fcc,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4761.48,1371566.19,35.89,0.865220,9057814.50,237.00,6.60,721,2,"KMLT, KSNA, KPPA, KMLT",3
