plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
Hercules H-4,11f71f8b-33c1-4b6f-826f-aaf8459bd156,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,65.18,674567.71,6.90,0.371803,293128.50,3.00,0.43,150,0,"KBGR, WYTOP",1
Hercules H-4,f291a1ca-0786-4dce-9ee8-be93a7251997,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,168.14,670362.83,7.14,0.370865,751453.50,8.00,1.12,150,5,"KADW, KEWR",1
Hercules H-4,eaf39a4d-89cc-473e-a1ff-bac43518d0db,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,552.98,666914.86,7.32,0.370077,2458585.50,27.00,3.69,150,4,"KADW, KJAX",1
Hercules H-4,314bd12c-4723-4594-bb7b-16d5a0830bd9,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,552.98,657706.55,7.32,0.365473,2424639.00,27.00,3.69,150,4,"KADW, KJAX",1
Hercules H-4,0fafffa2-a9e5-4b8b-8424-32be1bebe417,fbo:7c2bd7b7-6d50-4f32-9326-ac9024d5a21b,926.76,645222.24,7.45,0.359837,3986461.50,46.00,6.18,150,5,"KDEN, KCVG",1
Hercules H-4,d2768687-51cb-443a-8784-d1d2c2e135f8,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,973.05,634471.13,7.40,0.354233,4115821.50,48.00,6.49,150,5,"KMIA, KDFW",1
Hercules H-4,aec85f9b-0c6b-4955-a1e9-7da73bb53a4d,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,524.31,624086.82,7.44,0.349235,2181417.00,26.00,3.50,150,5,"KSDF, KMSP",1
Hercules H-4,7c997e07-73c4-4ca1-a280-a9184bce17fe,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,1287.59,623343.23,7.46,0.348951,5350716.00,64.00,8.58,150,5,"KADW, KDEN",1
Hercules H-4,9e6861bc-ecd5-4ef9-b866-d501eafdd234,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,810.25,620809.06,7.41,0.347430,3353406.00,40.00,5.40,150,2,"KMLT, KCVG",1
Lockheed SR-71,3956af93-42c7-4690-b700-8f1b5c879c39,fbo:b2868468-2061-4c06-92db-2209025e23f7,2082.99,5324.27,95.36,0.479477,5806.50,104.00,1.09,1910,1,"KLRG, CYYT, CYVO, KLRG",3
